_step,critic/rewards_onpolicy/mean,actor/entropy_loss,diag/teacher_token_ratio,diag/exp_token_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/entropy_onpolicy_token_mean,diag/entropy_teacher_token_mean,diag/group_teacher_minus_on_reward_mean,diag/adv_onpolicy_token_mean,diag/adv_teacher_token_mean,diag/onpolicy_adv_pos_ratio,diag/teacher_adv_pos_ratio,actor/off_pg_loss,actor/on_pg_loss
78,0.6071428656578064,0.09392016381025314,0.009086892940104008,0.009086892940104008,0.6071428656578064,1,0.09140408784151077,0.36829447746276855,0.3928571428571429,-0.027616851031780243,0.590869128704071,0.3571428656578064,0.75,0.0,0.214054387062788
79,0.6785714030265808,0.12107998132705688,0.011843857355415821,0.011843857355415821,0.6785714030265808,1,0.11809150874614716,0.37041446566581726,0.32142857142857145,-0.047759994864463806,0.6329841613769531,0.5535714030265808,0.875,-0.05077345669269562,0.14767728559672832
80,0.31578946113586426,0.084346704185009,0.004245459567755461,0.004245459567755461,0.31578946113586426,1,0.08319202065467834,0.35517194867134094,0.6938775510204082,-0.0263074804097414,1.5883406400680542,0.31578946113586426,1.0,-0.08870254270732403,0.15782833844423294
81,0.5535714030265808,0.0891966000199318,0.009857322089374065,0.009857322089374065,0.5535714030265808,1,0.08667032420635223,0.342953622341156,0.4464285714285714,-0.03530792146921158,0.7825065851211548,0.5535714030265808,1.0,-0.17815073393285275,-0.026611488312482834
82,0.4464285671710968,0.11383960396051407,0.013243274763226509,0.013243274763226509,0.4464285671710968,1,0.10924118757247925,0.4564676284790039,0.5535714285714286,-0.039896074682474136,1.370155692100525,0.4464285671710968,1.0,-0.05314844101667404,0.18074559047818184
83,0.6607142686843872,0.08470641821622849,0.011382426135241985,0.011382426135241985,0.6607142686843872,1,0.08129668980836868,0.3808572590351105,0.3392857142857143,-0.033749572932720184,0.6926402449607849,0.5357142686843872,0.875,-0.04116860032081604,0.13598148711025715
84,0.6964285969734192,0.10826382786035538,0.012674490921199322,0.012674490921199322,0.6964285969734192,1,0.10544055700302124,0.3281916379928589,0.30357142857142855,-0.02561328001320362,0.62864089012146,0.4464285671710968,0.75,-0.08383369445800781,-0.01948455348610878
85,0.3928571343421936,0.08610248565673828,0.0061500100418925285,0.0061500100418925285,0.3928571343421936,1,0.08419446647167206,0.3944389522075653,0.6071428571428571,-0.03250381723046303,1.3105599880218506,0.3928571343421936,1.0,-0.12274102494120598,0.29309362545609474
86,0.4821428656578064,0.09619204699993134,0.009751377627253532,0.009751377627253532,0.4821428656578064,1,0.093195341527462,0.4005061686038971,0.5178571428571428,-0.04480738565325737,0.8764808773994446,0.3571428656578064,0.875,-0.05314843729138374,0.06394408084452152
87,0.5535714030265808,0.08832550048828125,0.008594171144068241,0.008594171144068241,0.5535714030265808,1,0.08585382252931595,0.3734522759914398,0.4464285714285714,-0.0332181379199028,0.7487030625343323,0.4285714328289032,0.875,0.0,0.04732786677777767
88,0.5178571343421936,0.07561470568180084,0.006838271860033274,0.006838271860033274,0.5178571343421936,1,0.07343479245901108,0.3922155499458313,0.48214285714285715,-0.021278399974107742,1.0356196165084839,0.2678571343421936,0.75,-0.19376587122678757,0.324853740632534
89,0.5357142686843872,0.08043646067380905,0.007330870255827904,0.007330870255827904,0.5357142686843872,1,0.07825427502393723,0.3759244382381439,0.4642857142857143,-0.04196256026625633,0.8785468935966492,0.4107142984867096,0.875,-0.18863408640027046,0.04720279760658741
90,0.5357142686843872,0.08877318352460861,0.007768283598124981,0.007768283598124981,0.5357142686843872,1,0.08655508607625961,0.37208792567253113,0.4642857142857143,-0.026987111195921898,0.7088184356689453,0.1607142835855484,0.625,-0.09205576777458191,0.20323886908590794
91,0.4821428656578064,0.08911886066198349,0.006505471654236317,0.006505471654236317,0.4821428656578064,1,0.08695896714925766,0.4189698398113251,0.5178571428571428,-0.06435568630695343,1.1562871932983398,0.3571428656578064,0.875,-0.03068525530397892,-0.030440466478466988
92,0.3333333432674408,0.09291119128465652,0.009902349673211575,0.009902349673211575,0.3333333432674408,1,0.08960743993520737,0.42323997616767883,0.6326530612244898,-0.04471103847026825,1.1341627836227417,0.21052631735801697,0.8571428656578064,-0.09205576777458191,0.23906845413148403
93,0.4821428656578064,0.1325490027666092,0.012819181196391582,0.012819181196391582,0.4821428656578064,1,0.12844401597976685,0.4486660957336426,0.5178571428571429,-0.03779191896319389,1.6844727993011475,0.2321428507566452,0.75,-0.28123483061790466,0.19296275079250336
94,0.625,0.11118197441101074,0.009328764863312244,0.009328764863312244,0.625,1,0.10831833630800247,0.4152872860431671,0.375,-0.044491689652204514,0.827448844909668,0.375,0.75,-0.04116860032081604,0.10947971232235432
95,0.4821428656578064,0.08183452486991882,0.006642934400588274,0.006642934400588274,0.4821428656578064,1,0.0801030620932579,0.34074974060058594,0.5178571428571429,-0.07689432054758072,0.9319654703140259,0.4821428656578064,1.0,-0.12500229477882385,-0.056817129254341125
96,0.4821428656578064,0.08092004060745239,0.008602768182754517,0.008602768182754517,0.4821428656578064,1,0.0783555880188942,0.37645208835601807,0.5178571428571428,-0.025495082139968872,1.2604604959487915,0.2321428507566452,0.75,-0.2761673033237457,0.23888896591961384
97,0.5614035129547119,0.09060504287481308,0.009861710481345654,0.009861710481345654,0.5614035129547119,1,0.08822520077228546,0.3295466899871826,0.44897959183673464,-0.0579211562871933,0.7674188017845154,0.5614035129547119,1.0,-0.0992995910346508,0.2493445724248886
98,0.3928571343421936,0.09086072444915771,0.005760869476944208,0.005760869476944208,0.3928571343421936,1,0.08920285105705261,0.37698549032211304,0.6071428571428572,-0.08451815694570541,1.094591498374939,0.1428571492433548,0.75,-0.19376585632562637,0.2818665038794279
